support vector machine	Support-vector machine
two-dimensional space	Two-dimensional space
focused ion beam	Focused ion beam
fib	Fib
ct	CT
rte	Raidió Teilifís Éireann
fem	FEM
monte carlo method	Monte Carlo method
polydimethylsiloxane	Polydimethylsiloxane
rapid prototyping	Rapid prototyping
laser ablation	Laser ablation
fabricate	Fabrication
microfluidics	Microfluidics
microfluidic	Microfluidics
prepolymer	Prepolymer
text summarization	Automatic summarization
natural language processing	Natural language processing
ion	Ion
anions	Ion
anion	Ion
van der waals interaction	Van der Waals force
dispersion forces	London dispersion force
van der waals force	Van der Waals force
calculation	Calculation
bubble	Bubble
neutron irradiation	Neutron activation
bcc	BCC
iron ore	Iron ore
phosphorous	Phosphorous
aluminum	Aluminium
loi	Loi
al2o3	Aluminium oxide
electrode	Electrode
microelectrodes	Microelectrode
convection	Convection
heat sink	Heat sink
transformed	Transform
instability	Instability
cosmology	Cosmology
charged black hole	Charged black hole
quantum effects	Quantum mechanics
strong energy condition	Energy condition
braneworld	Brane cosmology
inhomogeneous broadening	Homogeneous broadening
timescales	Time scale
timescale	Time scale
collision cascade	Collision cascade
motion estimation	Motion estimation
imaging	Imaging
calibration	Calibration
o2	O2
low temperatures	Cryogenics
spin forbidden reactions	Spin-forbidden reactions
adsorption	Adsorption
shading	Shading
domestic system	Putting-out system
module	Module
modules	Modularity
antennas	Antenna (radio)
chimneys	Chimney
mc	Master of ceremonies
fourier analysis	Fourier analysis
waveforms	Waveform
microct	X-ray microtomography
hot isostatic pressing	Hot isostatic pressing
membrane	Membrane
proton transport	Proton pump
high performance computing	Supercomputer
cloud	Cloud
speed up	Speedup
scale up	Scale up
response rate	Response rate
hpc	HPC
simple	Simple
quantization	Quantization
renormalization	Renormalization
screws	Screw
ℓ	L
kinetic energy	Kinetic energy
pentaquark	Pentaquark
quark model	Quark model
η meson	Eta and eta prime mesons
ylides	Ylide
ylide	Ylide
production	Production
management	Management
project management	Project management
computer engineering	Computer engineering
software project management	Software project management
software management	Software project management
minkowski spacetime	Minkowski space
weyl tensor	Weyl tensor
queries	Query
crg	CRG
idle process	Idle (CPU)
bn	BN
clustering	Clustering
conjectures	Conjecture
ias	IAS
shell model	Shell model
mema	Méma
positron	Positron
in situ oxidation	In situ chemical oxidation
oxidised	Redox
transmission electron microscope	Transmission electron microscopy
eds	EDS
stem	Stem
tem	Tem
sports biomechanics	Sports biomechanics
digital libraries	Digital library
e-learning	Educational technology
library	Library
digital library	Digital library
hybrid	Hybrid
fluid dynamics	Fluid dynamics
quantum fields	Quantum field theory
fermionic fields	Fermionic field
nuclear physics	Nuclear physics
casimir force	Casimir effect
deuterated	Isotopic labeling
hydrogenated	Hydrogenation
pe	Pe
stems	Stem
deuterium	Deuterium
cloud computing provider	Cloud computing
cloud computing security	Cloud computing security
cloud computing	Cloud computing
circ	Circ
cortical bone	Bone
trabecular bone	Trabecula
wafers	Wafer
electrical measurements	Electrical measurements
measured	Measurement
ultra high vacuum	Ultra-high vacuum
oxidized	Redox
atomic layer deposition	Atomic layer deposition
ald	ALD
ohmic contact	Ohmic contact
forming gas	Forming gas
phase field model	Phase-field model
functional	Functional
pdes	PDES
dendrite	Dendrite
melt	Melt
co-simulation	Co-simulation
distributed simulation	Simulation
communication latency	Latency (engineering)
hybrid mesons	Exotic meson
gluons	Gluon
glueballs	Glueball
color charge	Color charge
constituent quark model	Constituent quark
jpc	JPC
gt	GT
graph	Graph
comparisons	Comparison
chemical vapour deposition	Chemical vapor deposition
hydrogen silsesquioxane	Hydrogen silsesquioxane
rie	Rie
argon gas	Argon
scanning electron micrograph	Scanning electron microscope
ids	IDS
gate	Gate
transmission electron microscopy	Transmission electron microscopy
mma	Mixed martial arts
2-hydroxyethyl methacrylate	(Hydroxyethyl)methacrylate
poly	Poly
copolymer	Copolymer
hema	Hema
living polymerization	Living polymerization
mortar method	Mortar methods
mechanical system	Machine
simple cell	Simple cell
fluid mechanics	Fluid mechanics
swept wing	Swept wing
swept-wing	Swept wing
convective instability	Convective instability
laminar-turbulent transition	Laminar–turbulent transition
ispm	ISPM 15
oscillations	Oscillation
fea	FEA
shells	Shell
solids	Solid
surrogate model	Surrogate model
pl	PL
penalty method	Penalty method
fusion reactors	Fusion power
structural material	Structural material
impedance spectroscopy	Dielectric spectroscopy
eis	EIS
furnaces	Furnace
cell division	Cell division
t-cells	T cell
nanoparticles	Nanoparticle
t-cell receptors	T-cell receptor
cancer immunotherapy	Cancer immunotherapy
ansys	Ansys
design methods	Design methods
nanomaterials	Nanomaterials
nanostructures	Nanostructure
field emission	Field electron emission
soldering	Soldering
instruments	Instrument
electrochemical	Electrochemistry
uranium metal	Uranium
molten salt	Molten salt
electrochemical reduction	Electrochemistry
counter electrode	Auxiliary electrode
electrodes	Electrode
model	Model
natural phenomenon	List of natural phenomena
lightning	Lightning
upper atmosphere	Upper atmosphere
w/o	W/o
critical micellar concentration	Critical micelle concentration
cmc	CMC
homogenizer	Homogenizer
raft	Raft
statistical analyses	Statistics
gas phase	Phase (matter)
quantitative analysis	Quantitative analysis
metallization	Metalization
printed wiring boards	Printed circuit board
conducting polymers	Conductive polymer
teflon	Polytetrafluoroethylene
dip-coating	Dip-coating
carbon black	Carbon black
li-ion batteries	Lithium-ion battery
partial differential equations	Partial differential equation
membrane potentials	Membrane potential
synaptic inputs	Synapse
ordinary differential equations	Ordinary differential equation
odes	Odes
petsc	Portable, Extensible Toolkit for Scientific Computation
laser scanning	Laser scanning
sites	Site
artefacts	Artifact
digital camera	Digital camera
geometries	List of geometry topics
preconditioning	Preconditioner
parallelisation	Parallel computing
systems of linear equations	System of linear equations
health information systems	Health informatics
guided waves	Waveguide
oscillation	Oscillation
propagation	Propagation
magnesium	Magnesium
thermomechanical processing	Thermomechanical processing
surface treatment	Surface finishing
corrosion resistance	Corrosion
s phase	S phase
dealloying	Selective leaching
enrichment	Enrichment
alloying elements	Alloy
phaser	Phaser
mobile network	Cellular network
time division multiple access	Time-division multiple access
mac	Mac
medium access control	Medium access control
node	Node
pulp and paper industry	Pulp and paper industry
xylanase	Xylanase
bleaching agent	Bleach
wood	Wood
lignin	Lignin
pulp	Pulp
arabinoxylan	Arabinoxylan
electric power	Electric power
radiative recombination	Carrier generation and recombination
electron-hole pairs	Carrier generation and recombination
solar power	Solar power
neutrinos	Neutrino
slamm	SLAMM!! Events
slr	SLR
multi-objective optimization	Multi-objective optimization
optimization	Mathematical optimization
spea	Spea
evolutionary computation	Evolutionary computation
regression	Regression
us	Us
gas bubble	Bubble (physics)
oncolytic viruses	Oncolytic virus
low carbon steel	Carbon steel
magnetic alloys	Magnetic alloy
x	X
population	Population
parent	Parent
crossover	Crossover
mutation	Mutation
actinides	Actinide
uranium compounds	Uranium
plutonium	Plutonium
neptunium	Neptunium
periodic table	Periodic table
transuranium elements	Transuranium element
transactinides	Superheavy element
actinoids	Actinide
superactinides	Extended periodic table
ac	AC
th	TH
synthetic elements	Synthetic element
polymer chains	Polymer
polygons	Polygon
monte carlo simulation	Monte Carlo method
cylinders	Cylinder
passenger safety	Passenger safety
plastic deformation	Deformation (engineering)
composite materials	Composite material
composites	Composite
delamination	Delamination
metals	Metal
carbon fibre reinforced plastic	Carbon-fiber-reinforced polymers
cfrp	Carbon-fiber-reinforced polymers
strang splitting	Strang splitting
wave propagation	Wave propagation
mesoporous silica	Mesoporous silica
tetraethylorthosilicate	Tetraethyl orthosilicate
teos	Teos
cetyltrimethylammonium bromide	Cetrimonium bromide
atomizer	Atomization
tube furnace	Tube furnace
aminopropyltriethoxysilane	(3-Aminopropyl)triethoxysilane
protocells	Protocell
hydrochloric acid	Hydrochloric acid
ethanol	Ethanol
velocity	Velocity
dpd	DPD
isotropy	Isotropy
galilean invariance	Galilean invariance
langevin dynamics	Langevin dynamics
thermostat	Thermostat
angular momentum	Angular momentum
linear momentum	Momentum
put	Put
complex fluids	Complex fluid
biological systems	Biological system
s-wave	S wave
nanoparticle tracking analysis	Nanoparticle tracking analysis
nta	NTA
heptane	Heptane
nuclear matter	Nuclear matter
pion	Pion
quasiparticle	Quasiparticle
garfield	Garfield
chamber	Chamber
chambers	Chambers
tfm	TFM
linear interpolation	Linear interpolation
hilbert transform	Hilbert transform
grid	Grid
r	R
t	T
summation	Summation
applications	Application
virtual server	Virtual server
broker	Broker
grid computing	Grid computing
viscoelastic behavior	Viscoelasticity
elastomers	Elastomer
polymer chain	Polymer
mg	Magnesium
mx	MX
nl	NL
ns	NS
cerebral angiography	Cerebral angiography
embolization	Embolization
stl	STL
acrylic resin	Acrylic resin
vero	Vero
smoothing	Smoothing
3d printer	3D printing
smoothed	Smoothing
directed acyclic graphs	Directed acyclic graph
dags	Dag
pig latin	Pig Latin
hadoop	Apache Hadoop
mapreduce	MapReduce
pig	Pig
sql	SQL
schmidt number	Schmidt number
schmidt	Schmidt
functionally graded material	Functionally graded material
bamboo	Bamboo
balsawood	Ochroma
shell	Shell
bone	Bone
functional polymers	Smart polymer
atom transfer radical polymerization	Atom transfer radical polymerization
nucleophilic substitution	Nucleophilic substitution
azides	Azide
alkynes	Alkyne
synthetic polymers	List of synthetic polymers
h-bonds	Hydrogen bond
tpa	TPA
spa	Spa
dyes	Dye
rhodamines	Rhodamine
fluorescence	Fluorescence
rh	RH
density of states	Density of states
dos	DOS (disambiguation)
ad	Advertising
mies	Mies
pill	Pill
temperature	Temperature
recycling	Recycling
cold finger	Cold finger
flexures	Flexure
load cell	Load cell
vissim	Vissim
drivers	Driver
vehicle	Vehicle
weighbridges	Truck scale
deployment	Deployment
execution	Capital punishment
snr	SNR
nerse	Nerse
electrical impedance	Electrical impedance
enterprise social software	Enterprise social software
ess	S
hydrozincite	Hydrozincite
cu2o	Copper(I) oxide
dp	DP
simonkolleite	Zinc chloride hydroxide monohydrate
cuprite	Cuprite
scale factor	Scale factor
planck mass	Planck units
dilaton	Dilaton
einstein's general relativity	General relativity
masses	Mass (disambiguation)
expansion of the universe	Expansion of the universe
cosmological constant	Cosmological constant
digital elevation model	Digital elevation model
wgs84	World Geodetic System
enu	ENU (disambiguation)
cartesian coordinate system	Cartesian coordinate system
termination	Termination
washing	Washing
degassing	Degassing
generalized gradient approximation	Density functional theory
nickel	Nickel
plane wave	Plane wave
spin polarization	Spin polarization
vortices	Vortex
aperture	Aperture
plane	Plane
element	Element
euler diagram	Euler diagram
euler diagrams	Euler diagram
glyphs	Glyph
mola	Mola
dems	Dems
gauge group	Gauge theory
su(n)	Special unitary group
hemp	Hemp
internal node	Tree (data structure)
κ	Kappa
similarity matrix	Similarity measure
inequality	Inequality
2-norm	Norm (mathematics)
maximum deviation	Deviation (statistics)
antigens	Antigen
invitrogen	Invitrogen
endosomes	Endosome
ingestion	Ingestion
intradermal injection	Intradermal injection
cd11b	Integrin alpha M
cd11c	Integrin alpha X
antigen	Antigen
carbohydrates	Carbohydrate
lysosomes	Lysosome
uim	Uim
scale-invariant feature transform	Scale-invariant feature transform
sift	Sieve
speeded up robust features	Speeded up robust features
surf	Surf
svm	SVM
j/ψ	J/psi meson
charmonia	Quarkonium
nucleus	Nucleus
hadrons	Hadron
charmonium	Quarkonium
quark–gluon plasma	Quark–gluon plasma
pc	PC
physical properties	Physical property
interface	Interface
sb	SB
mse	MSE
lcs	LCS
n2o	Nitrous oxide
soil moisture	Soil moisture
discrete element method	Discrete element method
spheres	Sphere
granular materials	Granular material
forces	Force
velocities	Velocity
moments	Moment
hydrogen bonding	Hydrogen bond
alkylation	Alkylation
metal ions	Metal
atom transfer radical polymerization	Atom transfer radical polymerization
imidazolium salt	Imidazole
antiarrhythmics	Antiarrhythmic agent
aqueous solutions	Aqueous solution
bromides	Bromide
liquid crystals	Liquid crystal
cosmological constant problem	Cosmological constant problem
boomerang	Boomerang
matter density	Density
critical density	Critical density
deceleration parameter	Deceleration parameter
q	Q
bag model	Nucleon
quarks	Quark
buffers	Buffer
buffer	Buffer
input buffer	Data buffer
formula	Formula
pions	Pion
time–frequency analysis	Time–frequency analysis
multi-resolution analysis	Multiresolution analysis
temporal resolution	Temporal resolution
electromagnetic waves	Electromagnetic radiation
spectrogram	Spectrogram
transmission	Transmission
electron imaging	Electron microscope
heavy metals	Heavy metals
synaptic vesicles	Synaptic vesicle
membranes	Membrane
multiplicities	Multiplicity (mathematics)
fourier basis	Basis function
chebyshev polynomials	Chebyshev polynomials
