term,annotation,df
microb dna motif,DNA,jnlpba
microb element,DNA,jnlpba
enhancer element,DNA,jnlpba
hiv-2 transactivator gene,DNA,jnlpba
transactivator ( ie-2 ) gene,DNA,jnlpba
hiv-2 tat gene,DNA,jnlpba
human cd4+ lymphocytes,cell_type,jnlpba
hiv-1 tat genes,DNA,jnlpba
t-cell activators,protein,jnlpba
cmv transactivator,DNA,jnlpba
hiv-2 tat,DNA,jnlpba
cmv transactivators,DNA,jnlpba
transcripts,RNA,jnlpba
hiv-2 long terminal repeat,DNA,jnlpba
hiv-2 enhancer element,DNA,jnlpba
mononuclear infiltrates,cell_type,jnlpba
inflammatory infiltrates,cell_type,jnlpba
iga+ and igg+ plasma cells,cell_type,jnlpba
natural killer cells,cell_type,jnlpba
or,protein,jnlpba
progesterone receptor,protein,jnlpba
pr,protein,jnlpba
okt8+ suppressor/cytotoxic t cells,cell_line,jnlpba
okt8+ t cells,cell_line,jnlpba
lymphocytes,cell_line,jnlpba
progesterone receptor-specific monoclonal antibody,protein,jnlpba
pregnancy lymphocytes,cell_type,jnlpba
nonpregnancy lymphocytes,cell_type,jnlpba
mpri,protein,jnlpba
avidin,protein,jnlpba
-biotin peroxidase,protein,jnlpba
cd8+ and cd4+ cells,cell_line,jnlpba
cd8+ cells,cell_line,jnlpba
progesterone receptor-bearing cells,cell_line,jnlpba
cd4+ cells,cell_line,jnlpba
nonpregnancy lymphocytes,cell_line,jnlpba
receptor-containing cells,cell_type,jnlpba
progesterone binding structures,protein,jnlpba
human cd4 t lymphocytes,cell_line,jnlpba
fibronectin,protein,jnlpba
vla-5 receptor,protein,jnlpba
cd4 cells,cell_line,jnlpba
ap-1 transcription factor,protein,jnlpba
anti-cd3 antibody,protein,jnlpba
cd4,protein,jnlpba
anti-cd29,protein,jnlpba
integrin beta 1,protein,jnlpba
anti-vla-5,protein,jnlpba
human fibronectin receptor,protein,jnlpba
cd4 cell,cell_line,jnlpba
fibronectin receptor,protein,jnlpba
ap-1 transcriptional factor,protein,jnlpba
vla-5 fibronectin receptor,protein,jnlpba
mononuclear leukocytes,cell_type,jnlpba
hematopoietic growth factor,protein,jnlpba
tumor cells,cell_type,jnlpba
c-erbb2 gene sequences,DNA,jnlpba
int-2,DNA,jnlpba
c-erbb2,DNA,jnlpba
oncogene,DNA,jnlpba
cytokine,protein,jnlpba
transcription factor nf-kappa b,protein,jnlpba
htlv-i tax protein,protein,jnlpba
tax protein,protein,jnlpba
namalwa b lymphoid cells,cell_line,jnlpba
tax,protein,jnlpba
jurkat t lymphocytes,cell_line,jnlpba
cytokines,protein,jnlpba
mitogen-inducible transcription factors,protein,jnlpba
fos,protein,jnlpba
jun,protein,jnlpba
interferon-gamma,protein,jnlpba
lymphokine,protein,jnlpba
transcriptionally active human tata binding factor,protein,jnlpba
transcription factor iid,protein,jnlpba
tfiid,protein,jnlpba
tata box promoter element,DNA,jnlpba
eukaryotic genes,DNA,jnlpba
rna polymerase ii,protein,jnlpba
human tfiid protein,protein,jnlpba
human tfiid polypeptide,protein,jnlpba
carboxyl-terminal 181 amino acids,protein,jnlpba
amino terminus,protein,jnlpba
x-thr-pro repeat,protein,jnlpba
t-cell trans-activator,protein,jnlpba
phorbol ester-inducible element,DNA,jnlpba
interleukin-2 promoter,DNA,jnlpba
interleukin 2 ( il-2 ) gene promoter,DNA,jnlpba
cell-type-specific and ubiquitous transcriptional regulators,protein,jnlpba
t-cell,cell_type,jnlpba
novel t-cell-specific transcriptional activator,protein,jnlpba
tcf-1,protein,jnlpba
t-cell factor-1,protein,jnlpba
t-cell-specific response element,DNA,jnlpba
tce,DNA,jnlpba
il-2 promoter,DNA,jnlpba
consensus nf kappa b site,DNA,jnlpba
nf kappa b,protein,jnlpba
tax-response element dna,DNA,jnlpba
human t-cell leukemia virus type i ( htlv-i ) promoter,DNA,jnlpba
tre,DNA,jnlpba
tax-response element,DNA,jnlpba
virally encoded transactivator protein,protein,jnlpba
htlv-i immortalized tax-expressing human t-lymphocyte line,cell_line,jnlpba
tre-dna,DNA,jnlpba
tax-protein,protein,jnlpba
tre-dna fragment,DNA,jnlpba
tre-dna binding proteins,protein,jnlpba
50 kd protein,protein,jnlpba
"32 , 36 to 42 and 110 kd proteins",protein,jnlpba
50 kd factor,protein,jnlpba
21 base-pair sequence,DNA,jnlpba
protein-tre-dna complex,protein,jnlpba
immunoglobulin enhancer,DNA,jnlpba
microe5/kappa 2 motif,DNA,jnlpba
immunoglobulin heavy and kappa light chain gene enhancers,DNA,jnlpba
ubiquitous and developmentally regulated proteins,protein,jnlpba
complementary dnas,DNA,jnlpba
itf-1,protein,jnlpba
itf-2,protein,jnlpba
heavy and kappa light chain enhancers,DNA,jnlpba
helix-loop-helix motifs,protein,jnlpba
peripheral mononuclear leukocytes,cell_type,jnlpba
lymphokines,protein,jnlpba
nfil2 a,protein,jnlpba
nfil2 b,protein,jnlpba
c-fos mrna,RNA,jnlpba
human t-cell leukemia virus type ii rex gene,DNA,jnlpba
p24rex,protein,jnlpba
nonstructural trans-acting regulatory genes,DNA,jnlpba
tax,DNA,jnlpba
rex,DNA,jnlpba
3 ' region,DNA,jnlpba
viral genome,DNA,jnlpba
tax gene product,protein,jnlpba
htlv-i p40tax,protein,jnlpba
htlv-ii p37tax,protein,jnlpba
viral long terminal repeat,DNA,jnlpba
rex gene,DNA,jnlpba
p27rex/p21rex,protein,jnlpba
p26rex/p24rex,protein,jnlpba
rex,protein,jnlpba
gag/pol,protein,jnlpba
env mrna,RNA,jnlpba
htlv-infected cells,cell_type,jnlpba
p21rex,protein,jnlpba
tax/rex mrna,RNA,jnlpba
astrocytes,cell_type,jnlpba
glioblastoma cells,cell_type,jnlpba
octamer-dna binding proteins,protein,jnlpba
ubiquitous oct-1 and b cell type oct-2 proteins,protein,jnlpba
'octamer ' sequence,DNA,jnlpba
b-lymphocytes,cell_type,jnlpba
housekeeping genes,DNA,jnlpba
octamer-binding protein,protein,jnlpba
b-cell specific gene,DNA,jnlpba
octamer site,DNA,jnlpba
interleukin-1 and mhc class ii genes,DNA,jnlpba
octamer-binding proteins,protein,jnlpba
octamer binding proteins,protein,jnlpba
cultured mouse astrocytes,cell_type,jnlpba
human glioblastoma and neuroblastoma cell lines,cell_line,jnlpba
nervous system-derived ( n-oct ) proteins,protein,jnlpba
octamer dna sequence,DNA,jnlpba
oct-2a proteins,protein,jnlpba
n-oct proteins,protein,jnlpba
n-oct-factors,protein,jnlpba
ubiquitous oct-1,protein,jnlpba
lymphoid-specific oct-2a,protein,jnlpba
melanoma cells,cell_type,jnlpba
n-oct-3 factor,protein,jnlpba
oct-2a expression vector,DNA,jnlpba
n-oct-3,protein,jnlpba
n-oct factors,protein,jnlpba
non-erythroid cells,cell_type,jnlpba
erythroid cell transcription factor,protein,jnlpba
ef1,protein,jnlpba
erythroid transcription factor,protein,jnlpba
erythroid factor-1,protein,jnlpba
non-erythroid cell types,cell_type,jnlpba
unspliced mrna,RNA,jnlpba
post-transcriptional regulator,protein,jnlpba
unspliced viral gag-pol mrna,RNA,jnlpba
phosphoprotein,protein,jnlpba
htlv-i infected human t-cell line,cell_line,jnlpba
unspliced gag-pol mrna,RNA,jnlpba
gag protein,protein,jnlpba
cd4+ t-cell clonal lines,cell_line,jnlpba
cem-c7,cell_line,jnlpba
human leukemic cd4+ t-lymphocyte cell line,cell_line,jnlpba
cem-4r4,cell_line,jnlpba
cem-3r43,cell_line,jnlpba
icr-27,cell_line,jnlpba
transferrin,protein,jnlpba
insulin,protein,jnlpba
bovine serum albumin,protein,jnlpba
clonal lines,cell_line,jnlpba
serum-supplemented and serum-free cultures,cell_line,jnlpba
t-derived lymphoid cells,cell_type,jnlpba
glutamine synthetase,protein,jnlpba
cem-c7 cells,cell_line,jnlpba
human peripheral mononuclear and polymorphonuclear leucocytes,cell_type,jnlpba
peripheral mixed leucocytes,cell_type,jnlpba
mixed leucocytes,cell_type,jnlpba
mononuclear ( mnl ) and polymorphonuclear ( pml ) leucocytes,cell_type,jnlpba
leucocytes,cell_type,jnlpba
mnl,cell_type,jnlpba
pml,cell_type,jnlpba
ubiquitous octamer-binding protein,protein,jnlpba
octanucleotide promoter element,DNA,jnlpba
cdnas,DNA,jnlpba
human pre-b-cell lines,cell_line,jnlpba
steady-state immunoglobulin heavy-chain mrna,RNA,jnlpba
immunoglobulin gene,DNA,jnlpba
pre-b cells,cell_line,jnlpba
hml,cell_type,jnlpba
plasma renin,protein,jnlpba
transcriptional regulatory proteins,protein,jnlpba
sequence-specific dna-binding proteins,protein,jnlpba
octamer or kappa b consensus sequences,DNA,jnlpba
octamer transcription factor,protein,jnlpba
nuclear factor ( nf ) -kappa b,protein,jnlpba
reporter plasmid,DNA,jnlpba
human immunodeficiency virus ( hiv ) enhancer,DNA,jnlpba
transiently transfected b cell line,cell_line,jnlpba
octamer consensus,DNA,jnlpba
jurkat t leukemia cells,cell_line,jnlpba
mutated octamer site,DNA,jnlpba
il-2 enhancer,DNA,jnlpba
peripheral lymphocytes,cell_type,jnlpba
spleen lymphocytic cell,cell_type,jnlpba
chronic myelogenous leukemia ( cml ) cells,cell_type,jnlpba
cml cells,cell_type,jnlpba
ifn-alpha,protein,jnlpba
cml cytoplasmic proteins,protein,jnlpba
nuclear protein-dna complexes,protein,jnlpba
ifn,protein,jnlpba
epstein-barr virus nuclear antigen 2,protein,jnlpba
latent membrane protein,protein,jnlpba
lmp1,protein,jnlpba
epstein-barr virus ( ebv ) nuclear antigen 2,protein,jnlpba
ebna-2,protein,jnlpba
leader protein,protein,jnlpba
ebna-lp,protein,jnlpba
ebv latent infection membrane protein,protein,jnlpba
simian virus 40 or moloney murine leukemia virus promoters,DNA,jnlpba
p3hr-1-infected burkitt 's lymphoma cells,cell_line,jnlpba
p3hr-1,cell_line,jnlpba
daudi cell line,cell_line,jnlpba
daudi,cell_line,jnlpba
p3hr-1-infected cells,cell_line,jnlpba
daudi cells,cell_line,jnlpba
lmp1 mrna,RNA,jnlpba
ebv genes,DNA,jnlpba
recombinant ebna-2 expression vectors,DNA,jnlpba
lmp1 dna fragments,DNA,jnlpba
ebv-negative b-lymphoma cell lines,cell_line,jnlpba
bjab,cell_line,jnlpba
louckes,cell_line,jnlpba
bl30,cell_line,jnlpba
ebna-2-responsive element,DNA,jnlpba
-512 to +40 lmp1 dna,DNA,jnlpba
chloramphenicol acetyltransferase reporter gene,DNA,jnlpba
ebna-2 expression vector,DNA,jnlpba
ebv type 1 ebna-2,protein,jnlpba
transformation-competent ebna-2 deletion mutant,DNA,jnlpba
c-myc genes,DNA,jnlpba
human lymphoid cells,cell_type,jnlpba
nuclear protooncogenes,DNA,jnlpba
c-myc mrna,RNA,jnlpba
pre-b ( hyon ) and t ( dnd-41 ) cell lines,cell_line,jnlpba
hyon cells,cell_line,jnlpba
b-cell epitopes,protein,jnlpba
human hepatitis b virus x protein,protein,jnlpba
x protein,protein,jnlpba
ms2-hbx fusion proteins,protein,jnlpba
epitopes,protein,jnlpba
hbx sequence,protein,jnlpba
fusion proteins,protein,jnlpba
carboxy-terminal half,protein,jnlpba
hbx protein,protein,jnlpba
immunodominant antigenic region,protein,jnlpba
nonoverlapping epitopes,protein,jnlpba
hbx,protein,jnlpba
human leukocytes,cell_type,jnlpba
low affinity specific binding sites,protein,jnlpba
antigen molecules,protein,jnlpba
anti-tax1 monoclonal antibody,protein,jnlpba
lt-4,protein,jnlpba
monoclonal antibody,protein,jnlpba
human t cell leukemia virus type i ( htlv-i ) trans-activator ( tax1 ) antigen,protein,jnlpba
antigens,protein,jnlpba
htlv-i-bearing cell lines,cell_line,jnlpba
simian cell lines,cell_line,jnlpba
htlv-ii-bearing cell line,cell_line,jnlpba
tax1 antigen molecules,protein,jnlpba
39 kd tax1 antigen,protein,jnlpba
stlv-i-bearing t cell lines,cell_line,jnlpba
tax1-related antigen molecules,protein,jnlpba
human immunodeficiency virus type 1 enhancer-binding proteins,protein,jnlpba
human t-cell line,cell_line,jnlpba
cellular proteins,protein,jnlpba
hiv-1 ltr,DNA,jnlpba
transcription-enhancer region,DNA,jnlpba
inducible,protein,jnlpba
c1,protein,jnlpba
"constitutive , c2 , protein",protein,jnlpba
hiv-enhancer domain,DNA,jnlpba
c2 proteins,protein,jnlpba
interleukin-2-receptor alpha-subunit enhancer,DNA,jnlpba
inducible c1 protein,protein,jnlpba
47 kda protein,protein,jnlpba
transcriptional enhancers,DNA,jnlpba
t cell,cell_type,jnlpba
conserved binding sites,DNA,jnlpba
nf kappa b binding site,DNA,jnlpba
hiv-2 ltr,DNA,jnlpba
hiv-1 or hiv-2 enhancers,DNA,jnlpba
hiv-1 transcriptional enhancer,DNA,jnlpba
hiv-2 transcriptional enhancer,DNA,jnlpba
activator protein 3,protein,jnlpba
nf-x2,protein,jnlpba
dra x2-box,DNA,jnlpba
activator protein 1,protein,jnlpba
c-jun,protein,jnlpba
human class ii mhc ag,protein,jnlpba
cell surface glycoproteins,protein,jnlpba
thymic epithelial cells,cell_type,jnlpba
ifn-gamma,protein,jnlpba
class ii genes,DNA,jnlpba
cis-acting regulatory motifs,DNA,jnlpba
x2-box,DNA,jnlpba
nuclear factor x2,protein,jnlpba
full-length cdna clone,DNA,jnlpba
cdna clone,DNA,jnlpba
human c-jun protein,protein,jnlpba
c-fos,protein,jnlpba
heterodimeric activator protein-1 transcription complex,protein,jnlpba
c-fos/c-jun heterodimers,protein,jnlpba
b cells,cell_line,jnlpba
class ii nonexpressing cells,cell_line,jnlpba
dra gene,DNA,jnlpba
type 1 receptors,protein,jnlpba
type 1 receptor,protein,jnlpba
nfat-1,protein,jnlpba
activated t-cells,cell_type,jnlpba
transcription of sv40 t-antigen,protein,jnlpba
activated t-lymphocytes,cell_type,jnlpba
intracellular calcium,cell_type,jnlpba
t-lymphocytes,cell_type,jnlpba
t-lymphocyte-depleted spleen cells,cell_type,jnlpba
purified b-lymphocytes,cell_type,jnlpba
non-t-lymphocytes,cell_type,jnlpba
functional sequences,DNA,jnlpba
hiv-ltr,DNA,jnlpba
t-cell protein,protein,jnlpba
palindromic sequence,DNA,jnlpba
negative regulatory element,DNA,jnlpba
major protein-binding sites,DNA,jnlpba
human immunodeficiency virus type 1 long terminal repeat,DNA,jnlpba
site b,DNA,jnlpba
steroid/thyroid hormone response elements,DNA,jnlpba
estrogen- or thyroid hormone-response elements,DNA,jnlpba
site b palindrome,DNA,jnlpba
progesterone receptors,protein,jnlpba
blocking factor,protein,jnlpba
progesterone-treated pregnancy lymphocytes,cell_line,jnlpba
56-59-kilodalton protein,protein,jnlpba
untransformed steroid receptor complexes,protein,jnlpba
unique protein,protein,jnlpba
70- and 90-kilodalton heat shock proteins,protein,jnlpba
9s,protein,jnlpba
"untransformed progestin , estrogen , androgen , and glucocorticoid receptor complexes",protein,jnlpba
59-kda protein,protein,jnlpba
monoclonal antibody kn 382/ec1,protein,jnlpba
rabbit 59-kda protein,protein,jnlpba
untransformed glucocorticoid receptor complexes,protein,jnlpba
human im-9 lymphocytes,cell_line,jnlpba
4s salt-transformed receptors,protein,jnlpba
ec1 antibody,protein,jnlpba
56-kda protein,protein,jnlpba
p56,protein,jnlpba
isomorphs,protein,jnlpba
unique human protein,protein,jnlpba
im-9 cell,cell_line,jnlpba
70- and 90-kda heat shock proteins,protein,jnlpba
heat shock protein,protein,jnlpba
hsp70,protein,jnlpba
hsp90,protein,jnlpba
untransformed steroid receptors,protein,jnlpba
proto-oncoprotein,protein,jnlpba
ets-1,protein,jnlpba
transcriptional activator sequence,DNA,jnlpba
ets proto-oncogene family,DNA,jnlpba
sequence-related genes,DNA,jnlpba
ets gene family,DNA,jnlpba
sequence-specific dna-binding protein,protein,jnlpba
mouse ets-1 cdna clone,DNA,jnlpba
double-stranded oligonucleotide probe,DNA,jnlpba
cdna sequence,DNA,jnlpba
813-bp open reading frame,DNA,jnlpba
orf,DNA,jnlpba
272 carboxy-terminal amino acids,protein,jnlpba
human ets-1 protein,protein,jnlpba
30-kd protein product,protein,jnlpba
mutant ltr,DNA,jnlpba
ets-1 binding site,DNA,jnlpba
msv ltr promoter,DNA,jnlpba
wild-type promoter,DNA,jnlpba
mouse t lymphocytes,cell_type,jnlpba
reporter gene,DNA,jnlpba
ets-related genes,DNA,jnlpba
eukaryotic dna-binding proteins,protein,jnlpba
type ii estrogen binding sites,protein,jnlpba
human peripheral blood mononuclear cells,cell_type,jnlpba
pbmc,cell_type,jnlpba
ii estrogen binding sites,protein,jnlpba
type ii ebs,protein,jnlpba
mononuclear leukocyte,cell_type,jnlpba
gc receptor,protein,jnlpba
vivo gc receptor,protein,jnlpba
ras-related gtp-binding proteins,protein,jnlpba
leukocyte,cell_type,jnlpba
heterotrimeric,protein,jnlpba
phagocyte nadph oxidase,protein,jnlpba
rac gtp-binding proteins,protein,jnlpba
nadph oxidase,protein,jnlpba
rac,protein,jnlpba
gtp-binding protein,protein,jnlpba
ras superfamily,protein,jnlpba
actin filaments,protein,jnlpba
b-cell,cell_type,jnlpba
b-cell-specific activator protein,protein,jnlpba
pax-gene family,DNA,jnlpba
b-cell-specific genes,DNA,jnlpba
key protein,protein,jnlpba
nf-kappa b protein,protein,jnlpba
in vitro activated normal human lymphocytes,cell_line,jnlpba
50-kda nf-kappa b,protein,jnlpba
p50,protein,jnlpba
p105,protein,jnlpba
c-rel,protein,jnlpba
specific dna-protein complex,protein,jnlpba
nf-kappa b dna binding motif,protein,jnlpba
construct,DNA,jnlpba
tandem repeats,DNA,jnlpba
nf-kappa b binding sequence,DNA,jnlpba
immunoglobulin kappa light chain gene,DNA,jnlpba
myeloid zinc finger gene,DNA,jnlpba
mzf-1,DNA,jnlpba
cd34 promoter,DNA,jnlpba
c2h2 zinc finger gene,DNA,jnlpba
putative transcriptional regulator,protein,jnlpba
c2h2 zinc fingers,protein,jnlpba
dna binding domains,protein,jnlpba
zinc fingers,protein,jnlpba
carboxy-terminus,protein,jnlpba
dna consensus binding site,DNA,jnlpba
dna binding domain,protein,jnlpba
yeast transactivator gal4,protein,jnlpba
chloramphenicol acetyl transferase ( cat ) reporter gene,DNA,jnlpba
thymidine kinase promoter,DNA,jnlpba
gal4 dna binding sites,DNA,jnlpba
nih 3t3,cell_line,jnlpba
293,cell_line,jnlpba
k562,cell_line,jnlpba
jurkat cell lines,cell_line,jnlpba
cat reporter gene,DNA,jnlpba
gal4,protein,jnlpba
nonhematopoietic cell lines,cell_line,jnlpba
hematopoietic cell lines,cell_line,jnlpba
mzf-1 binding sites,DNA,jnlpba
physiologically relevant promoter,DNA,jnlpba
hematopoietic,cell_line,jnlpba
recombinant mzf-1 protein,protein,jnlpba
consensus binding sites,DNA,jnlpba
luciferase reporter plasmids,DNA,jnlpba
nonhematopoietic and hematopoietic cell lines,cell_line,jnlpba
cd34,protein,jnlpba
bcl6 gene,DNA,jnlpba
activated lymphocytes,cell_type,jnlpba
immediate early gene,DNA,jnlpba
3q27,DNA,jnlpba
human b-cell lymphomas,cell_type,jnlpba
murine bcl6 ( mbcl6 ) cdna,DNA,jnlpba
muscle cdna library,DNA,jnlpba
human bcl6 ( hbcl6 ) cdna,DNA,jnlpba
hbcl6,protein,jnlpba
kruppel-like zinc-finger motif,protein,jnlpba
mbcl6 gene,DNA,jnlpba
bcl6,protein,jnlpba
pax-5,protein,jnlpba
paired box containing gene,DNA,jnlpba
pax-5,DNA,jnlpba
b cell specific transcription factor,protein,jnlpba
immunoglobulin heavy-chain,protein,jnlpba
two heat shock factors,protein,jnlpba
hsf1,protein,jnlpba
hsf3,protein,jnlpba
avian erythroblast cell line,cell_line,jnlpba
hd6,cell_line,jnlpba
heat shock transcription factor ( hsf ) genes,DNA,jnlpba
hsf2,protein,jnlpba
hsfs,protein,jnlpba
erythroblast cell line hd6,cell_line,jnlpba
lymphoblast cell line msb,cell_line,jnlpba
embryo fibroblasts,cell_line,jnlpba
hd6 cells,cell_line,jnlpba
non-dna-binding dimer,protein,jnlpba
dna-binding trimer,protein,jnlpba
inert monomer,protein,jnlpba
transiently overexpressed hsf3,protein,jnlpba
heat shock element-containing reporter construct,DNA,jnlpba
chimeric gal4-hsf3 protein,protein,jnlpba
gal4 reporter construct,DNA,jnlpba
avian cells,cell_type,jnlpba
nfatp,protein,jnlpba
activated ht-2 cells,cell_line,jnlpba
nfatp polyclonal antibody,protein,jnlpba
nuclear factor of activated t cells,protein,jnlpba
nfat,protein,jnlpba
cytokine genes,protein,jnlpba
calcineurin,protein,jnlpba
serine/threonine phosphatase,protein,jnlpba
murine nfatp,protein,jnlpba
nfatp protein,protein,jnlpba
ht-2 cells,cell_line,jnlpba
32p-labeled ht-2 cells,cell_line,jnlpba
nuclear factors,protein,jnlpba
activated t cells,cell_type,jnlpba
nfatc,protein,jnlpba
human natural killer cells,cell_type,jnlpba
cd16,protein,jnlpba
natural killer ( nk ) cells,cell_type,jnlpba
cyclosporin a ( csa ) -sensitive factor,protein,jnlpba
human nk cells,cell_type,jnlpba
fc gamma riiia,protein,jnlpba
cytokine mrna,RNA,jnlpba
nk cells,cell_type,jnlpba
nk cell nfat,protein,jnlpba
nonstimulated cells,cell_type,jnlpba
nfatp- and nfatc- specific antibodies,protein,jnlpba
nfatc mrna,RNA,jnlpba
mab,protein,jnlpba
t cell nfatc,protein,jnlpba
phorbol ester-stimulated cells,cell_line,jnlpba
csa-sensitive transcription factors,protein,jnlpba
stat proteins,protein,jnlpba
kinases,protein,jnlpba
jak-1,protein,jnlpba
jak-3,protein,jnlpba
jak kinases,protein,jnlpba
stat family,protein,jnlpba
human t lymphocytes,cell_type,jnlpba
natural killer cell line,cell_line,jnlpba
nkl,cell_line,jnlpba
stat1 alpha,protein,jnlpba
stat3,protein,jnlpba
stat-related proteins,protein,jnlpba
p94,protein,jnlpba
p95,protein,jnlpba
stat1,protein,jnlpba
phosphorylation site,protein,jnlpba
src homology 2 ( sh2 ) domain,protein,jnlpba
specific dna sequence,DNA,jnlpba
specific genes,DNA,jnlpba
p53 transcripts,RNA,jnlpba
rifn-alpha 2c,protein,jnlpba
peripheral blood mononuclear cells,cell_type,jnlpba
bone marrow cells,cell_type,jnlpba
c-fos transcript,RNA,jnlpba
immature cells,cell_type,jnlpba
